Area,Item,Element,Year,Unit,Value
Spain,"Offals, liver duck",Import Value,1982,1000 US$,0.0
Austria,Sugar refined,Export Value,1998,1000 US$,49040.0
Jordan,"Coffee, roasted",Import Value,2005,1000 US$,1614.0
French Polynesia,Dates,Export Quantity,2002,tonnes,
Malta,"Offals, edible, cattle",Import Quantity,2002,tonnes,24.0
Thailand,Vermouths & similar,Export Quantity,1987,tonnes,0.0
Croatia,"Juice, grape",Import Quantity,2010,tonnes,75.0
Côte d'Ivoire,"Oil, maize",Import Value,1964,1000 US$,
Peru,Pineapples,Import Quantity,2009,tonnes,167.0
Djibouti,Rye,Import Value,2007,1000 US$,0.0
French Polynesia,"Oil, citronella",Import Value,1968,1000 US$,0.0
Gabon,Milk Equivalent,Import Value,1998,1000 US$,17818.0
Czechia,Asparagus,Export Quantity,1996,tonnes,9.0
Portugal,"Nuts, nes",Export Value,1973,1000 US$,1346.0
Egypt,Lard,Import Quantity,2006,tonnes,0.0
Poland,"Feed, pulp of fruit",Import Quantity,1970,tonnes,0.0
Malawi,"Flour, roots and tubers nes",Import Value,2004,1000 US$,0.0
Albania,"Skins, goat, wet salted",Import Value,1991,1000 US$,
Mauritius,Apricots,Import Quantity,2008,tonnes,27.0
Polynesia,"Chillies and peppers, green",Export Value,2004,1000 US$,8.0
Peru,"Cotton, carded, combed",Export Quantity,1971,tonnes,0.0
United Arab Emirates,Beet pulp,Import Quantity,1962,tonnes,
Uruguay,Lemons and limes,Export Value,1981,1000 US$,2624.0
Sweden,"Oil, castor beans",Export Quantity,1982,tonnes,41.0
Senegal,Cotton waste,Export Quantity,2007,tonnes,0.0
Georgia,"Groundnuts, shelled",Export Quantity,1996,tonnes,
Serbia and Montenegro,Pineapples canned,Import Value,1992,1000 US$,215.0
Oman,Bovine Meat,Export Quantity,1983,tonnes,10.0
Hungary,"Leeks, other alliaceous vegetables",Export Quantity,1965,tonnes,0.0
Mauritania,Oilseeds nes,Import Quantity,1971,tonnes,
Guyana,"Juice, grapefruit",Import Value,2005,1000 US$,7.0
Melanesia,"Meat, chicken",Import Quantity,1968,tonnes,1762.0
Paraguay,Rape+Mustard Seed,Import Value,1990,1000 US$,
Croatia,Barley,Export Quantity,2010,tonnes,7285.0
Occupied Palestinian Territory,Ginger,Import Quantity,2003,tonnes,30.0
Suriname,Coffee Green+Roast,Import Quantity,1971,tonnes,17.0
Angola,Sesame seed,Export Value,1995,1000 US$,0.0
Burkina Faso,"Oil, olive, virgin",Import Quantity,1983,tonnes,0.0
Kuwait,Pistachios,Import Quantity,2012,tonnes,188.0
Niger,Poppy seed,Export Value,2008,1000 US$,0.0
Jamaica,Sweet corn frozen,Import Quantity,1970,tonnes,0.0
Samoa,Lemons and limes,Import Value,1978,1000 US$,
Germany,Flax Fib+Tow+W,Export Quantity,1995,tonnes,571.0
Brunei Darussalam,"Meat, cattle, boneless (beef & veal)",Import Quantity,1976,tonnes,
Saint Lucia,"Flour, potatoes",Import Value,2011,1000 US$,15.0
Mozambique,Peaches and nectarines,Import Value,1986,1000 US$,
New Zealand,"Oil, essential nes",Export Value,1976,1000 US$,7.0
Mauritania,"Feed, vegetable products nes",Import Value,1966,1000 US$,0.0
Singapore,"Starch, cassava",Import Value,1983,1000 US$,
Luxembourg,"Nutmeg, mace and cardamoms",Export Value,2007,1000 US$,3.0
Yemen,Fatty acids,Import Value,2005,1000 US$,11.0
French Polynesia,Bananas,Import Quantity,1972,tonnes,1.0
Dominica,Milk Condensed + Evaporated,Import Value,1989,1000 US$,828.0
Trinidad and Tobago,"Oil, essential nes",Import Value,1979,1000 US$,0.0
Cambodia,"Cereals, breakfast",Export Quantity,1972,tonnes,
Costa Rica,"Milk, whole dried",Export Quantity,2002,tonnes,1546.0
Portugal,Cheese and Curd,Import Quantity,1984,tonnes,4321.0
Brunei Darussalam,"Flour, maize",Import Quantity,2013,tonnes,137.0
Nicaragua,Alfalfa meal and pellets,Import Quantity,2004,tonnes,2.0
Turkey,"Groundnuts, shelled",Export Quantity,1980,tonnes,1753.0
Czechia,"Waters,ice etc",Export Value,2002,1000 US$,6770.0
Costa Rica,Vermouths & similar,Export Value,2013,1000 US$,0.0
Barbados,"Roots and tubers, nes",Import Quantity,1976,tonnes,0.0
Liberia,Beer of barley,Import Quantity,1991,tonnes,1800.0
Viet Nam,Soybeans,Import Value,2002,1000 US$,6810.0
Bermuda,Meat Fresh+Ch+Frozen,Import Value,1961,1000 US$,2838.0
Denmark,"Onions, shallots, green",Export Quantity,1980,tonnes,11.0
Haiti,"Butter, cow milk",Export Quantity,2007,tonnes,137.0
Trinidad and Tobago,Sweet potatoes,Export Value,2009,1000 US$,1.0
Nauru,Coffee+Tea+Cocoa+Sp,Import Value,1966,1000 US$,25.0
Georgia,"Oil, boiled etc",Export Quantity,2011,tonnes,0.0
Melanesia,Ovine Meat,Import Quantity,1993,tonnes,52538.0
Venezuela (Bolivarian Republic of),"Potatoes, frozen",Import Value,2004,1000 US$,8651.0
Finland,Poultry Meat,Export Value,1970,1000 US$,0.0
Faroe Islands,Animal Oil+Fat+Grs,Import Quantity,2013,tonnes,17.0
Saudi Arabia,Cabbages and other brassicas,Export Value,1993,1000 US$,488.0
Portugal,Jute+Bast Fibres,Export Value,2011,1000 US$,25.0
Costa Rica,"Chillies and peppers, dry",Export Value,1968,1000 US$,0.0
Mauritania,"Oil, palm",Import Quantity,2011,tonnes,14831.0
Polynesia,Pet food,Export Value,1997,1000 US$,14000.0
Mozambique,"Milk, whole fresh cow",Export Value,1980,1000 US$,0.0
United Republic of Tanzania,"Juice, orange, single strength",Export Value,1979,1000 US$,
Thailand,"Offals, liver geese",Import Value,1985,1000 US$,0.0
Hungary,Milk Dry,Import Value,1984,1000 US$,450.0
Malaysia,Beer,Export Value,1966,1000 US$,1372.0
Fiji,"Coffee, green",Import Value,1962,1000 US$,1.0
Philippines,"Milk, skimmed dried",Import Value,1979,1000 US$,50157.0
Fiji,"Oil, castor beans",Import Quantity,1995,tonnes,4.0
Uruguay,Cucumbers and gherkins,Export Value,1966,1000 US$,0.0
Uganda,"Cheese, processed",Import Value,2004,1000 US$,18.0
Belgium,"Tobacco, unmanufactured",Export Value,2009,1000 US$,401065.0
Norway,Garlic,Import Quantity,1963,tonnes,0.0
Polynesia,"Apricots, dry",Import Quantity,2006,tonnes,6.0
Greece,Glucose and dextrose,Import Value,1967,1000 US$,9.0
Bangladesh,Buckwheat,Import Value,1976,1000 US$,
Côte d'Ivoire,Lentils,Export Value,1990,1000 US$,
Honduras,Cassava Equivalent,Export Quantity,2004,tonnes,1315.0
Albania,Spinach,Import Value,2012,1000 US$,4.0
Guatemala,Bread,Import Value,1990,1000 US$,141.0
Guinea-Bissau,Hops,Import Quantity,1961,tonnes,0.0
Burkina Faso,"Flour, cereals",Import Quantity,1980,tonnes,875.0
Egypt,"Oils, fats of animal nes",Import Quantity,2000,tonnes,6402.0
Italy,"Eggs, liquid",Export Quantity,1994,tonnes,1310.0
Madagascar,"Margarine, short",Import Value,1994,1000 US$,40.0
Indonesia,"Cake, groundnuts",Import Quantity,1970,tonnes,0.0
Zambia,"Tobacco, unmanufactured",Export Quantity,1993,tonnes,5831.0
Lebanon,"Milk, skimmed cow",Export Value,1998,1000 US$,1.0
Haiti,"Flour, mustard",Import Value,2005,1000 US$,32.0
Niger,Crude materials,Import Value,1972,1000 US$,851.0
Qatar,"Sugar, nes",Import Quantity,1965,tonnes,0.0
Jamaica,"Tomatoes, paste",Import Value,2010,1000 US$,2006.0
Jamaica,Malt,Export Quantity,1986,tonnes,
Latvia,Quinces,Import Value,2009,1000 US$,159.0
Argentina,Cherries,Import Value,1970,1000 US$,0.0
Melanesia,"Milk, whole condensed",Import Value,1996,1000 US$,1635.0
Saudi Arabia,"Flour, potatoes",Import Value,1985,1000 US$,184.0
Hungary,Beer of barley,Import Quantity,2008,tonnes,82733.0
Iran (Islamic Republic of),"Flour, wheat",Export Value,1998,1000 US$,222.0
Lebanon,Sugar refined,Export Quantity,1988,tonnes,0.0
Botswana,"Oil, groundnut",Import Quantity,1991,tonnes,36.0
Republic of Moldova,"Cherries, sour",Import Value,2011,1000 US$,0.0
Samoa,"Milk, whole condensed",Import Value,2013,1000 US$,14.0
Ireland,"Milk, whole evaporated",Export Value,1976,1000 US$,25.0
Cameroon,Meat Fresh+Ch+Frozen,Export Value,1965,1000 US$,210.0
Guatemala,Cassava Equivalent,Export Value,2011,1000 US$,112.0
Cyprus,"Hides, cattle, wet salted",Export Quantity,1992,tonnes,0.0
Fiji,Sweet corn prep or preserved,Import Quantity,2004,tonnes,69.0
Gabon,Infant food,Import Value,1963,1000 US$,35.0
Democratic People's Republic of Korea,Oranges,Import Quantity,2004,tonnes,8.0
Saudi Arabia,"Cake, cottonseed",Import Quantity,2001,tonnes,6699.0
Angola,"Olive Oil,Total",Export Quantity,1969,tonnes,2.0
Chad,"Eggs, hen, in shell",Import Quantity,1997,tonnes,16.0
Mali,"Juice, citrus, concentrated",Import Quantity,1968,tonnes,
El Salvador,Chick peas,Import Quantity,1994,tonnes,3.0
India,"Oil, maize",Export Value,2013,1000 US$,128.0
Burundi,"Tobacco, unmanufactured",Import Value,1993,1000 US$,2.0
Cameroon,Bananas,Import Quantity,1987,tonnes,0.0
Guinea,"Offals, edible, cattle",Export Quantity,2005,tonnes,0.0
Brazil,Lard,Import Quantity,2011,tonnes,17.0
Colombia,Millet,Export Quantity,1967,tonnes,0.0
Austria,"Cotton, carded, combed",Import Value,1974,1000 US$,19.0
Yemen,"Offals, liver chicken",Import Value,2000,1000 US$,
Kenya,Figs dried,Export Quantity,1970,tonnes,0.0
Vanuatu,Meat of Swine,Export Value,1971,1000 US$,0.0
Paraguay,Sesame seed,Export Quantity,1982,tonnes,0.0
Netherlands,Sugar Raw Centrifugal,Export Value,1973,1000 US$,65.0
Viet Nam,Silk raw,Export Quantity,1986,tonnes,35.0
Rwanda,Flax Fib+Tow+W,Import Quantity,1983,tonnes,0.0
Cabo Verde,"Flour, wheat",Import Value,1976,1000 US$,462.0
Pakistan,Figs,Import Quantity,2004,tonnes,224.0
Italy,"Juice, orange, single strength",Import Value,1983,1000 US$,7190.0
Gabon,"Mangoes, mangosteens, guavas",Import Value,1967,1000 US$,
Poland,"Flour, maize",Import Value,1974,1000 US$,
Ireland,"Germ, maize",Import Quantity,1991,tonnes,47.0
Mauritius,Watermelons,Export Quantity,2011,tonnes,0.0
Faroe Islands,Pears,Import Value,1971,1000 US$,14.0
Slovenia,"Juice, fruit nes",Import Quantity,2003,tonnes,1484.0
France,Pistachios,Export Value,1981,1000 US$,432.0
Ethiopia,Beer of barley,Export Value,1996,1000 US$,0.0
Singapore,"Leeks, other alliaceous vegetables",Export Value,1968,1000 US$,0.0
Vanuatu,Oilseeds nes,Export Quantity,1976,tonnes,
Greece,"Meat, pig sausages",Import Quantity,1969,tonnes,201.0
Myanmar,"Oil, linseed",Import Quantity,1997,tonnes,0.0
Sudan (former),Malt,Import Quantity,1964,tonnes,1498.0
Oman,Meat Prepared Pres,Import Quantity,1996,tonnes,1883.0
Lithuania,Avocados,Import Quantity,2006,tonnes,392.0
Madagascar,Beet pulp,Import Value,1973,1000 US$,
Faroe Islands,Pineapples canned,Import Quantity,1961,tonnes,0.0
Turkey,Animal Vegetable Oil,Export Quantity,1988,tonnes,94149.0
Austria,"Fructose and syrup, other",Export Value,1963,1000 US$,
Serbia and Montenegro,Sweet corn frozen,Import Quantity,1996,tonnes,1.0
Fiji,"Beans, green",Import Value,1977,1000 US$,0.0
Belize,Cassava Equivalent,Export Quantity,1986,tonnes,
Armenia,Triticale,Import Value,1997,1000 US$,
Canada,"Oil, rapeseed",Import Value,2002,1000 US$,17092.0
Bolivia (Plurinational State of),"Skins, goat, wet salted",Export Quantity,1976,tonnes,0.0
Pakistan,"Oil, rapeseed",Import Quantity,2008,tonnes,2.0
Occupied Palestinian Territory,Tea,Export Value,2002,1000 US$,197.0
United States of America,"Feed, pulp of fruit",Import Quantity,2006,tonnes,0.0
Yemen,Mixes and doughs,Export Quantity,1981,tonnes,
Barbados,Sugar and Honey,Import Quantity,2005,tonnes,54586.0
Mauritania,Strawberries,Import Quantity,1989,tonnes,1.0
Somalia,Animal Oil+Fat+Grs,Export Value,2006,1000 US$,1.0
Saint Kitts and Nevis,Lettuce and chicory,Import Quantity,1971,tonnes,
French Polynesia,"Nuts, prepared (exc. groundnuts)",Import Value,2004,1000 US$,604.0
Tonga,Cucumbers and gherkins,Import Value,1997,1000 US$,
Cuba,Butter,Import Quantity,1967,tonnes,7609.0
Egypt,"Oil, soybean",Export Value,1969,1000 US$,23.0
France,"Cocoa, paste",Import Value,1999,1000 US$,144630.0
Guam,Sorghum,Import Value,1969,1000 US$,0.0
Zimbabwe,"Tomatoes, paste",Import Quantity,2013,tonnes,735.0
Uruguay,"Chillies and peppers, green",Export Quantity,1968,tonnes,0.0
Tonga,"Cereal preparations, nes",Import Quantity,2000,tonnes,55.0
Egypt,Strawberries,Export Quantity,1987,tonnes,0.0
Malaysia,"Wheat+Flour,Wheat Equivalent",Export Value,1990,1000 US$,12656.0
Caribbean,"Melons, other (inc.cantaloupes)",Export Quantity,2002,tonnes,27286.0
Sudan (former),"Tangerines, mandarins, clementines, satsumas",Export Value,1965,1000 US$,
Niger,Meat of Swine,Import Quantity,1970,tonnes,0.0
United States of America,"Cake, copra",Import Value,2005,1000 US$,7.0
Lithuania,Pigmeat,Import Value,1992,1000 US$,175.0
Gambia,"Beans, dry",Import Value,1989,1000 US$,
Rwanda,Cider etc,Import Value,1964,1000 US$,0.0
Sierra Leone,"Cereal preparations, nes",Import Quantity,2012,tonnes,0.0
China,Soybeans,Import Value,1964,1000 US$,21831.0
Iran (Islamic Republic of),"Cocoa, beans",Import Value,1989,1000 US$,60.0
Israel,"Oil, boiled etc",Export Quantity,1986,tonnes,15.0
Austria,Molasses,Import Quantity,1998,tonnes,124839.0
Antigua and Barbuda,"Meat, sheep",Export Quantity,1970,tonnes,
France,Bananas,Import Value,1985,1000 US$,203582.0
Paraguay,Pulses,Export Value,2007,1000 US$,99.0
Haiti,"Oil, groundnut",Import Value,1978,1000 US$,0.0
United Kingdom,Poultry Meat,Import Value,1968,1000 US$,10665.0
Cyprus,Glucose and dextrose,Import Value,1964,1000 US$,0.0
Nauru,Chocolate products nes,Import Quantity,1968,tonnes,8.0
France,"Waters,ice etc",Export Value,1963,1000 US$,8179.0
Papua New Guinea,Cauliflowers and broccoli,Import Value,1985,1000 US$,44.0
Yemen,"Oil, safflower",Export Value,1971,1000 US$,
Ghana,"Cocoa, butter",Import Value,1979,1000 US$,
Jamaica,Offals Edibl Fresh,Export Value,1972,1000 US$,3.0
Angola,"Eggs, hen, in shell",Import Quantity,2003,tonnes,8141.0
Bulgaria,Cloves,Import Quantity,2005,tonnes,1.0
Albania,Straw husks,Export Value,1967,1000 US$,
Saint Vincent and the Grenadines,"Nutmeg, mace and cardamoms",Import Quantity,1971,tonnes,0.0
Thailand,"Whey, condensed",Export Quantity,1986,tonnes,0.0
Antigua and Barbuda,Cigarettes,Import Value,1988,1000 US$,700.0
Kyrgyzstan,"Tea, mate extracts",Export Quantity,1999,tonnes,
Slovakia,Beer of barley,Import Value,1994,1000 US$,11048.0
Cyprus,"Milk, skimmed cow",Import Quantity,1976,tonnes,
Uzbekistan,Molasses,Import Quantity,2012,tonnes,1406.0
Bosnia and Herzegovina,"Juice, citrus, single strength",Export Quantity,2003,tonnes,
Indonesia,Coffee Green+Roast,Import Quantity,2002,tonnes,7665.0
Azerbaijan,"Eggs, hen, in shell",Import Quantity,2004,tonnes,684.0
Iraq,Animal Vegetable Oil,Import Quantity,1992,tonnes,146538.0
Estonia,"Beans, green",Export Quantity,2005,tonnes,0.0
Uzbekistan,"Leeks, other alliaceous vegetables",Export Value,2008,1000 US$,90.0
Haiti,"Meat, pig, preparations",Import Quantity,1991,tonnes,520.0
Malawi,"Cocoa, paste",Import Value,1974,1000 US$,71.0
Belgium,Copra,Export Value,2003,1000 US$,4765.0
Rwanda,"Milk, whole evaporated",Export Value,1969,1000 US$,
Guinea,Rice,Import Quantity,2005,tonnes,160828.0
Bulgaria,Oilseed Cake Meal,Import Quantity,1985,tonnes,481584.0
Iran (Islamic Republic of),"Cereal preparations, nes",Import Quantity,2010,tonnes,48.0
Gabon,Dates,Import Value,1992,1000 US$,0.0
Ireland,"Milk, skimmed cow",Import Value,1998,1000 US$,376.0
Mexico,Lactose,Export Value,1962,1000 US$,0.0
Egypt,Almonds shelled,Export Value,1996,1000 US$,14.0
Kuwait,"Milk, products of natural constituents nes",Export Value,1967,1000 US$,
Netherlands,"Meat, pig, preparations",Import Quantity,1964,tonnes,1074.0
Slovenia,"Offals, edible, cattle",Export Value,1998,1000 US$,102.0
Mauritania,"Cocoa, powder & cake",Import Quantity,1981,tonnes,0.0
Sweden,"Cake, sesame seed",Import Quantity,2008,tonnes,0.0
Guinea,Meat Fresh+Ch+Frozen,Export Value,2002,1000 US$,0.0
Romania,"Eggs, other bird, in shell",Export Quantity,1998,tonnes,
United Republic of Tanzania,Coffee Green+Roast,Import Quantity,1964,tonnes,10.0
Iceland,"Cocoa, powder & cake",Export Value,1966,1000 US$,
Mongolia,Bovine Meat,Import Quantity,1988,tonnes,0.0
Saudi Arabia,"Juice, orange, single strength",Import Value,1984,1000 US$,0.0
Iran (Islamic Republic of),Cigarettes,Export Value,1983,1000 US$,0.0
Venezuela (Bolivarian Republic of),"Juice, grapefruit",Import Value,1988,1000 US$,0.0
Cook Islands,Milk Condensed+Dry+Fresh,Import Value,1982,1000 US$,65.0
Cambodia,Sugar refined,Export Quantity,1999,tonnes,
Greece,"Anise, badian, fennel, coriander",Import Quantity,1997,tonnes,1490.0
Sri Lanka,"Tea, mate extracts",Export Quantity,2013,tonnes,1951.0
Dominica,"Grain, mixed",Import Value,1998,1000 US$,
Czechoslovakia,"Olive Oil,Total",Import Quantity,1984,tonnes,200.0
Mozambique,"Flour, maize",Import Value,1979,1000 US$,
Singapore,"Buttermilk, curdled, acidified milk",Import Quantity,1987,tonnes,0.0
Tonga,"Nuts, nes",Import Quantity,1974,tonnes,7.0
Panama,Meat Poultry Fresh,Import Quantity,1984,tonnes,346.0
Uruguay,Plantains and others,Import Quantity,1974,tonnes,
Belarus,Cassava Equivalent,Export Quantity,1999,tonnes,
Melanesia,"Fat, cattle",Import Quantity,1977,tonnes,0.0
Burkina Faso,Oranges+Tang+Clem,Export Value,1975,1000 US$,0.0
Jordan,"Cheese, processed",Export Quantity,2000,tonnes,
Guyana,Vermouths & similar,Export Value,1970,1000 US$,
Algeria,"Cheese, processed",Export Quantity,2009,tonnes,10.0
Burundi,"Oil, coconut (copra)",Export Quantity,2008,tonnes,0.0
Armenia,"Nuts, prepared (exc. groundnuts)",Export Value,2013,1000 US$,1389.0
Czechoslovakia,Coconuts,Export Value,1969,1000 US$,
United Arab Emirates,Plums and sloes,Import Quantity,1998,tonnes,
Fiji,Grapefruit (inc. pomelos),Import Value,2000,1000 US$,0.0
Norway,Grapes,Export Value,1975,1000 US$,12.0
Uruguay,"Offals, sheep,edible",Export Value,1986,1000 US$,6.0
Luxembourg,"Oil, citronella",Export Value,2007,1000 US$,0.0
Melanesia,"Oil, sunflower",Export Quantity,1962,tonnes,
Panama,"Meat, cattle, boneless (beef & veal)",Export Value,1990,1000 US$,
The former Yugoslav Republic of Macedonia,Infant food,Import Value,1999,1000 US$,611.0
Trinidad and Tobago,"Oil, sunflower",Import Quantity,2011,tonnes,247.0
Timor-Leste,Coffee+Tea+Cocoa+Sp,Import Value,1962,1000 US$,0.0
Hungary,Fixed Vegetable Oils,Export Quantity,2005,tonnes,147151.0
Austria,"Pumpkins, squash and gourds",Export Quantity,1991,tonnes,0.0
Myanmar,Jute+Bast Fibres,Export Value,1989,1000 US$,0.0
France,Oth Citrus Frt,Import Value,1998,1000 US$,73975.0
Timor-Leste,Total Meat,Import Quantity,1961,tonnes,2067.0
Afghanistan,"Milk, whole fresh cow",Import Value,2004,1000 US$,6553.0
Greece,Pears,Export Quantity,1971,tonnes,35.0
Panama,"Hair, fine",Import Value,1961,1000 US$,0.0
Albania,"Meat, cattle",Import Value,1972,1000 US$,0.0
Indonesia,Cotton lint,Export Quantity,1996,tonnes,784.0
Trinidad and Tobago,Mushrooms and truffles,Export Value,1977,1000 US$,0.0
Cameroon,"Juice, pineapple",Export Quantity,1991,tonnes,
Côte d'Ivoire,"Chillies and peppers, dry",Export Quantity,1982,tonnes,380.0
Kuwait,Animal Oil+Fat+Grs,Export Quantity,1970,tonnes,386.0
Costa Rica,Cabbages and other brassicas,Export Value,1995,1000 US$,80.0
Uganda,Fodder & Feeding stuff,Export Quantity,2012,tonnes,124783.0
Brazil,Apples,Export Value,1996,1000 US$,1787.0
Cambodia,"Coffee, green",Export Quantity,1981,tonnes,0.0
Brunei Darussalam,Coffee Green+Roast,Import Value,2000,1000 US$,281.0
Syrian Arab Republic,"Eggs, liquid",Import Quantity,1987,tonnes,
Uruguay,Coconuts,Import Value,1986,1000 US$,0.0
Botswana,"Milk, whole dried",Export Quantity,1993,tonnes,43.0
Swaziland,Sorghum,Import Quantity,1997,tonnes,1538.0
Portugal,"Whey, condensed",Import Value,1984,1000 US$,0.0
Melanesia,"Wheat+Flour,Wheat Equivalent",Import Value,1988,1000 US$,28204.0
USSR,Sugar Raw Centrifugal,Export Quantity,1985,tonnes,0.0
French Polynesia,"Oil, sunflower",Import Quantity,1961,tonnes,0.0
Bolivia (Plurinational State of),"Bran, maize",Export Value,1985,1000 US$,
Argentina,"Rubber, natural",Import Value,1996,1000 US$,3639.0
Dominican Republic,Wheat,Import Quantity,1965,tonnes,35376.0
United States of America,Forage products,Export Quantity,2012,tonnes,4214379.0
Kuwait,Sesame seed,Import Value,1972,1000 US$,187.0
Costa Rica,"Wool, greasy",Import Quantity,2004,tonnes,0.0
Djibouti,"Oil, palm",Import Value,2007,1000 US$,68816.0
Panama,Meat of Swine,Import Value,2006,1000 US$,1584.0
Maldives,Oilseeds,Import Quantity,2011,tonnes,36.0
Niger,"Margarine, short",Export Value,1963,1000 US$,
Hungary,Grapefruit (inc. pomelos),Import Quantity,1990,tonnes,2817.0
Guatemala,"Cashew nuts, shelled",Export Value,2012,1000 US$,45.0
Sweden,Mixes and doughs,Export Quantity,1995,tonnes,4040.0
Benin,"Flour, cereals",Import Quantity,1987,tonnes,0.0
Niger,"Anise, badian, fennel, coriander",Import Value,1963,1000 US$,
Bangladesh,"Nutmeg, mace and cardamoms",Import Value,1968,1000 US$,16.0
